,0,1,2
0,16770,0,1
1,13524,0,1
2,12772,1,1
3,19341,1,1
4,7801,0,1
5,9995,0,1
6,19073,1,1
7,6314,0,1
8,16525,0,1
9,18006,0,1
10,10113,0,1
11,7185,0,1
12,7427,0,1
13,14538,0,1
14,13996,1,1
15,12421,0,1
16,7011,0,1
17,4095,0,1
18,9454,0,1
19,6881,1,1
20,8016,0,1
21,9105,0,1
22,19671,0,1
23,9568,0,1
24,14159,1,1
25,15065,0,1
26,19477,0,1
27,3336,0,1
28,15905,0,1
29,4559,0,1
30,9557,0,1
31,3963,0,1
32,7817,1,1
33,12051,1,1
34,6920,0,1
35,11171,0,1
36,5019,0,1
37,16333,0,1
38,4104,0,1
39,6234,0,1
40,5100,0,1
41,10715,1,1
42,10315,0,1
43,15903,1,1
44,10298,0,1
45,14599,0,1
46,12516,0,1
47,4193,0,1
48,11432,0,1
49,16373,1,1
50,13421,0,1
51,9523,0,1
52,10116,0,1
53,9260,0,1
54,6258,0,1
55,4666,0,1
56,10686,0,1
57,16182,0,1
58,6518,0,1
59,15201,0,1
60,11872,0,1
61,18445,0,1
62,18514,0,1
63,13901,0,1
64,18838,0,1
65,12546,0,1
66,18807,0,1
67,8883,0,1
68,16077,0,1
69,16492,0,1
70,15025,0,1
71,4629,0,1
72,14287,1,1
73,18904,0,1
74,11291,0,1
75,3654,0,1
76,14716,0,1
77,7959,0,1
78,16735,0,1
79,8832,0,1
80,17880,0,1
81,15130,0,1
82,7416,1,1
83,7947,0,1
84,5509,0,1
85,17021,0,1
86,8082,0,1
87,17994,0,1
88,3470,0,1
89,16066,0,1
90,17005,0,1
91,19058,0,1
92,5209,0,1
93,13158,0,1
94,12069,0,1
95,8730,0,1
96,9231,0,1
97,19390,0,1
98,12704,0,1
99,17112,0,1
100,12534,0,1
101,8628,0,1
102,10420,0,1
103,6707,0,1
104,14627,0,1
105,9822,0,1
106,18503,0,1
107,17742,1,1
108,8680,0,1
109,17760,0,1
110,18096,0,1
111,15981,0,1
112,10995,0,1
113,11303,0,1
114,17918,0,1
115,7533,0,1
116,14999,0,1
117,9417,1,1
118,14141,0,1
119,18670,0,1
120,12768,0,1
121,9020,0,1
122,14204,0,1
123,16521,0,1
124,11717,0,1
125,3884,0,1
126,19658,0,1
127,11617,0,1
128,18484,0,1
129,6376,0,1
130,12464,0,1
131,17106,0,1
132,19490,0,1
133,9526,0,1
134,12702,0,1
135,8304,0,1
136,19448,0,1
137,18433,0,1
138,10411,0,1
139,6996,0,1
140,17625,0,1
141,5297,0,1
142,18543,0,1
143,6807,1,1
144,6263,0,1
145,18337,0,1
146,8893,0,1
147,14669,1,1
148,16766,0,1
149,11257,0,1
150,9249,0,1
151,15247,1,1
152,10237,0,1
153,3748,0,1
154,7557,0,1
155,16888,0,1
156,6373,0,1
157,13607,0,1
158,14918,0,1
159,5230,0,1
160,11865,0,1
161,19067,1,1
162,11586,0,1
163,9636,0,1
164,8110,0,1
165,14728,0,1
166,14962,0,1
167,13535,0,1
168,13661,0,1
169,8440,0,1
170,13232,0,1
171,9783,0,1
172,10590,0,1
173,8190,0,1
174,8834,0,1
175,11537,0,1
176,10811,0,1
177,9368,0,1
178,12437,0,1
179,15615,0,1
180,13528,0,1
181,15957,1,1
182,10203,0,1
183,7412,0,1
184,10739,1,1
185,5591,0,1
186,8667,0,1
187,18570,1,1
188,10239,0,1
189,3536,0,1
190,9928,0,1
191,4919,0,1
192,17070,0,1
193,11491,0,1
194,3853,0,1
195,6660,0,1
196,4247,1,1
197,9806,0,1
198,18066,0,1
199,8668,1,1
200,9520,0,1
201,18330,0,1
202,17913,0,1
203,6423,0,1
204,14076,0,1
205,18272,0,1
206,15515,0,1
207,15613,1,1
208,5610,0,1
209,7616,0,1
210,4600,1,1
211,12854,1,1
212,10004,1,1
213,6816,0,1
214,14579,0,1
215,9034,0,1
216,16726,0,1
217,18363,1,1
218,7401,0,1
219,19332,0,1
220,18119,0,1
221,15771,0,1
222,11711,1,1
223,11235,0,1
224,15467,0,1
225,14923,0,1
226,8209,0,1
227,7076,0,1
228,7075,0,1
229,8353,0,1
230,5130,0,1
231,16078,0,1
232,5301,0,1
233,14096,0,1
234,8404,0,1
235,7408,0,1
236,17144,0,1
237,12754,0,1
238,18262,1,1
239,9333,0,1
240,13659,1,1
241,19329,0,1
242,13685,1,1
243,7395,0,1
244,19521,0,1
245,9071,0,1
246,10955,1,1
247,17257,0,1
248,18641,0,1
249,19444,0,1
250,11639,0,1
251,10157,1,1
252,17453,0,1
253,19007,0,1
254,15928,0,1
255,14878,0,1
256,18510,0,1
257,10627,1,1
258,9448,0,1
259,8948,0,1
260,11693,1,1
261,18628,1,1
262,16906,0,1
263,8591,0,1
264,6331,0,1
265,18637,0,1
266,18583,0,1
267,15090,0,1
268,8673,0,1
269,9498,0,1
270,17433,0,1
271,7472,0,1
272,15877,1,1
273,10935,0,1
274,5435,0,1
275,6135,0,1
276,17193,0,1
277,18121,0,1
278,9982,0,1
279,4456,0,1
280,14833,0,1
281,8603,0,1
282,7283,0,1
283,13811,0,1
284,3455,0,1
285,17281,0,1
286,4088,0,1
287,14342,0,1
288,13523,0,1
289,11322,1,1
290,13026,0,1
291,19024,0,1
292,7726,0,1
293,13384,0,1
294,16936,0,1
295,14353,0,1
296,10015,0,1
297,18228,1,1
298,7573,1,1
299,16937,0,1
300,3652,0,1
301,19461,0,1
302,10644,0,1
303,3644,0,1
304,18412,0,1
305,12775,1,1
306,12767,1,1
307,7435,0,1
308,13416,0,1
309,4412,1,1
310,7285,0,1
311,5943,0,1
312,9618,0,1
313,7802,0,1
314,6560,0,1
315,12468,0,1
316,5598,0,1
317,4923,0,1
318,18826,0,1
319,16650,0,1
320,8636,0,1
321,5841,0,1
322,12401,0,1
323,17885,0,1
324,13167,0,1
325,18683,0,1
